"GISJOIN","year","state","population"
"G340",2010,"NJ",8791894
"G350",2010,"NM",2059179
"G360",2010,"NY",19378102
"G370",2010,"NC",9535483
"G380",2010,"ND",672591
"G390",2010,"OH",11536504
"G400",2010,"OK",3751351
"G410",2010,"OR",3831074
"G420",2010,"PA",12702379
"G440",2010,"RI",1052567
"G450",2010,"SC",4625364
"G460",2010,"SD",814180
"G470",2010,"TN",6346105
"G480",2010,"TX",25145561
"G490",2010,"UT",2763885
"G500",2010,"VT",625741
"G510",2010,"VA",8001024
"G530",2010,"WA",6724540
"G540",2010,"WV",1852994
"G550",2010,"WI",5686986
"G560",2010,"WY",563626
"G720",2010,"DC",3725789
